"account_id";"account_currency";"exclude from invoice";"tap_code";"Tap name";"Discount (%)";"Markup (%)";"Account name";"Remove Discount for bill cycle";"Comments"
"230,068,205";"EUR";"YES";;;;"1";"M2M-A.Services-GmbH";;;
"132,422,206";"EUR";"YES";;;;"1";"MAC&NIL SRL";;;
"160,942,505";"SEK";"YES";;;;"1";"Mälarenergi Elnät AB";;;
"231,100,805";"EUR";;;;"1";"1";"Metrotec OÜ";;;
"231,323,405";"SEK";"YES";;;;"1";"MicroGroup Europe AB";;;
"109,232,505";"EUR";"YES";;;;"1";"Ministerie van Financien Belastingdienst";;;
"164,644,005";"EUR";"YES";;;;"1";"MobileTrack BV";;;
"102,916,105";"SEK";"YES";;;;"1";"Mobility Communication Nordic AB";;;
"186,358,006";"SEK";"YES";;;;"1";"Mobitron AB";;;
"231,036,405";"EUR";"YES";;;;"1";"Movildata Internacional S.L.";;;
"231,491,605";"EUR";"YES";;;;"1";"Nailab S.L.";;;
"134,214,206";"EUR";"YES";;;;"1";"Navigil Oy";;;
"231,467,105";"EUR";"YES";;;;"1";"Nemlia GmbH";;;
"231,105,105";"EUR";"YES";;;;"1";"NetOp IoT Network Integrator Euro BV";;;
"231,215,805";"SEK";"YES";;;;"1";"New price zones - test account";;;
"231,253,205";"EUR";"YES";;;;"1";"Nibe Energy Systems Limited";;;
"186,209,606";"EUR";"YES";;;;"1";"Nine Hundred Communications";;;
"174,915,806";"EUR";"YES";;;;"1";"novatel d.o.o.";;;
"231,050,605";"EUR";"YES";;;;"1";"NTS d.o.o.";;;
"231,170,205";"EUR";"YES";;;;"1";"NTT Cable Deutschland KG";;;
"231,226,905";"SEK";"YES";;;;"1";"ONE Nordic AB";;;
"231,136,305";"EUR";"YES";;;;"1";"OPENTECH";;;
"186,311,506";"EUR";"YES";;;;"1";"OrangeNXT B.V.";;;
"231,593,305";"EUR";"YES";;;;"1";"Pal Electronics Systems LTD. - Essential";"remove fees till 01.2025";;
"126,401,006";"SEK";"YES";;;;"1";"PFO Tech AB";;;
"230,472,705";"EUR";"YES";;;;"1";"Philips Respironics";;;
"186,206,006";"EUR";"YES";;;;"1";"Picanol";;;
"231,045,105";"SEK";"YES";;;;"1";"Pilotfish - Legacy";;;
"186,000,606";"EUR";"YES";;;;"1";"Pneuman B.V";;;
"123,374,106";"SEK";"YES";;;;"1";"Posifon AB";;;
"231,021,605";"SEK";"YES";;;;"1";"PostNord Group AB";;;
"231,065,005";"SEK";"YES";;;;"1";"Prevas AB";;;
"186,439,006";"SEK";"YES";;;;"1";"Samuelsson & Partner AB";;;
"186,257,906";"EUR";"YES";;;;"1";"ProVita Deutschland GmbH";;;
"186,037,006";"EUR";"YES";;;;"1";"Proxsys BV";;;
"159,719,805";"SEK";"YES";;;;"1";"Q Security Solutions AB";;;
"186,590,806";"SEK";"YES";;;;"1";"Qick Mobility AB";;;
"186,473,906";"SEK";"YES";;;;"1";"Qubit Sverige AB";;;
"168,586,305";"SEK";"YES";;;;"1";"Rapid Säkerhet AB";;;
"126,648,306";"EUR";"YES";;;;"1";"Rapid Security OÜ";;;
"186,202,306";"EUR";"YES";;;;"1";"Rebus Labs AG";;;
"231,089,905";"EUR";;;;"1";"1";"RELISTE Ges.m.b.H.";;;
"185,995,906";"EUR";"YES";;;;"1";"Remion Oy";;;
"210,770,605";"SEK";"YES";;;;"1";"Renova Miljö AB";;;
"186,447,706";"EUR";"YES";;;;"1";"RevX Systems Corp";;;
"160,645,105";"SEK";"YES";;;;"1";"Ridango AS";;;
"117,731,806";"EUR";;;;"1";"1";"Robert Bosch B.V.";;;
"181,806,606";"SEK";"YES";;;;"1";"RoCom AB";;;
"169,419,005";"EUR";"YES";;;;"1";"RQM SA";;;
"186,287,806";"SEK";"YES";;;;"1";"R-Sys AB";;;
"231,024,105";"EUR";"YES";;;;"1";"RUDAN d.o.o.";;;
"166,972,705";"SEK";"YES";;;;"1";"Safeguard Sweden";;;
"108,628,905";"SEK";"YES";;;;"1";"SafeTeam";;;
"185,967,406";"SEK";"YES";;;;"1";"Sagasystem AS";;;
"124,227,806";"SEK";"YES";;;;"1";"Samtrans Omsorgsresor AB";;;
"231,057,405";"EUR";;;;"1";"1";"Satwork d.o.o.";;;
"186,037,506";"EUR";"YES";;;;"1";"Schiller Medical";;;
"100,116,806";"SEK";"YES";;;;"1";"Schotte Systems AB";;;
"231,046,405";"SEK";"YES";;;;"1";"Schotte Systems AB - Legacy";;;
"172,909,606";"SEK";"YES";;;;"1";"SDF Norra Hisingen Göteborg Stad";;;
"231,477,105";"SEK";"YES";;;;"1";"Securdia AB";;;
